name_en,name_fr,acronym_en,acronym_fr,url_en,url_fr,date_updated
Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs,atssc,scdata,https://www.canada.ca/en/administrative-tribunals-support-service.html,https://www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html,2021-09-27
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,agr,agr,http://www.agr.gc.ca/index_e.php,http://www.agr.gc.ca/index_f.php,2021-09-27
Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa,apeca,http://www.acoa-apeca.gc.ca/Eng/Pages/Home.aspx,http://www.acoa-apeca.gc.ca/fra/Pages/Accueil.aspx,2021-09-27
Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa,asfc,http://www.cbsa-asfc.gc.ca/menu-eng.html,http://www.cbsa-asfc.gc.ca/menu-fra.html,2021-09-27
Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,dec,ced,http://www.dec-ced.gc.ca/eng/index.html,http://www.dec-ced.gc.ca/fra/index.html,2021-09-27
Canada Energy Regulator,Régie de l’énergie du Canada,cer,rec,https://www.cer-rec.gc.ca/en/,https://www.cer-rec.gc.ca/fr/,2021-09-27
Canada Revenue Agency,Agence du revenu du Canada,cra,arc,http://www.cra-arc.gc.ca/menu-eng.html,http://www.cra-arc.gc.ca/menu-fra.html,2021-09-27
Canada School of Public Service,École de la fonction publique du Canada,csps,efpc,http://www.csps-efpc.gc.ca/,http://www.csps-efpc.gc.ca/index-fra.aspx,2021-09-27
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia,acia,http://www.inspection.gc.ca/eng/1297964599443/1297965645317,http://www.inspection.gc.ca/fra/1297964599443/1297965645317,2021-09-27
Canadian Grain Commission,Commission canadienne des grains,grainscanada,grainscanada,https://www.grainscanada.gc.ca/en/,https://www.grainscanada.gc.ca/fr/,2021-09-27
Canadian Heritage,Patrimoine canadien,pch,pch,http://www.pch.gc.ca/eng/1266037002102/1265993639778,http://www.pch.gc.ca/fra/1266037002102/1265993639778,2021-09-27
Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc,ccdp,https://www.chrc-ccdp.gc.ca/eng,https://www.chrc-ccdp.gc.ca/fra,2021-09-27
Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr,irsc,https://cihr-irsc.gc.ca/e/193.html,https://cihr-irsc.gc.ca/f/193.html,2021-09-27
Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,scics,scics,https://scics.ca/en/,https://scics.ca/fr/,2021-09-27
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,cannor,cannor,http://www.north.gc.ca/index-eng.asp,http://www.cannor.gc.ca/fra/1351104567432/1351104589057,2021-09-27
Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc,ccsn,http://nuclearsafety.gc.ca/eng/,http://nuclearsafety.gc.ca/fra/,2021-09-27
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,crtc,https://crtc.gc.ca/eng/home-accueil.htm,https://crtc.gc.ca/fra/accueil-home.htm,2021-09-27
Canadian Space Agency,Agence spatiale canadienne,csa,asc,http://www.asc-csa.gc.ca/eng/default.asp,http://www.asc-csa.gc.ca/fra/default.asp,2021-09-27
Canadian Transportation Agency,Office des transports du Canada,cta,otc,https://otc-cta.gc.ca/eng,https://otc-cta.gc.ca/fra,2021-09-27
Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,crcc,ccetp,https://www.crcc-ccetp.gc.ca/en,https://www.crcc-ccetp.gc.ca/fr,2021-09-27
Copyright Board Canada,Commission du droit d’auteur,cb,cda,https://cb-cda.gc.ca/en/homepage,https://cb-cda.gc.ca/fr,2021-09-27
Correctional Service Canada,Service correctionnel Canada,csc,scc,http://www.csc-scc.gc.ca/text/index-eng.shtml,http://www.csc-scc.gc.ca/text/index-fra.shtml,2021-09-27
Courts Administration Service,Service administratif des tribunaux judiciaires,cas,satj,https://www.cas-satj.gc.ca/,https://www.cas-satj.gc.ca/,2021-09-27
Crown-Indigenous Relations and Northern Affairs Canada,Affaires autochtones et du Nord Canada,cirnac,rcaanc,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,2021-09-27
Department of Finance Canada,Ministère des Finances Canada,fin,fin,https://www.fin.gc.ca/fin-eng.asp,https://www.fin.gc.ca/fin-fra.asp,2021-09-27
Department of Justice Canada,Ministère de la Justice Canada,justice,justice,http://www.justice.gc.ca/eng/index.html,http://www.justice.gc.ca/fra/index.html,2021-09-27
Employment and Social Development Canada,Emploi et Développement social Canada,esdc,edsc,http://www.esdc.gc.ca/,http://www.edsc.gc.ca/fra/accueil.shtml,2021-09-27
Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,ec,http://www.ec.gc.ca/default.asp?lang=En&n=FD9B0E51-1,http://www.ec.gc.ca/default.asp?lang=Fr&n=FD9B0E51-1,2021-09-27
Farm Products Council of Canada,Conseil des produits agricoles du Canada,fpcc,cpac,https://www.canada.ca/en/farm-products-council.html,https://www.canada.ca/fr/conseil-produits-agricoles.html,2021-09-27
,,,,,,2021-09-27
Federal Economic Development Agency for Southern Ontario (FedDev Ontario),Agence fédérale de développement économique pour le Sud de l'Ontario (FedDev Ontario),feddevontario,feddevontario,http://www.feddevontario.gc.ca/eic/site/723.nsf/eng/home,http://www.feddevontario.gc.ca/eic/site/723.nsf/fra/accueil,2021-09-27
Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac,acfc,https://www.canada.ca/en/financial-consumer-agency.html,https://www.canada.ca/fr/agence-consommation-matiere-financiere.html,2021-09-27
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac,fintrac,http://www.fintrac.gc.ca/intro-eng.asp,http://www.canafe.gc.ca/intro-fra.asp,2021-09-27
Fisheries and Oceans Canada,Pêches et Océans Canada,dfo,mpo,http://www.dfo-mpo.gc.ca/index-eng.htm,http://www.dfo-mpo.gc.ca/index-fra.htm,2021-09-27
Global Affairs Canada,Affaires mondiale Canada,gac,amc,http://www.international.gc.ca/,http://www.international.gc.ca/,2021-09-27
Health Canada,Santé Canada,hc,scc,http://www.hc-sc.gc.ca/index-eng.php,http://www.hc-sc.gc.ca/index-fra.php,2021-09-27
Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb,cisr,http://www.irb-cisr.gc.ca/eng/pages/index.aspx,http://www.irb-cisr.gc.ca/fra/pages/index.aspx,2021-09-27
"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,cic,http://www.cic.gc.ca/english/department/index.asp,http://www.cic.gc.ca/francais/ministere/index.asp,2021-09-27
Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac,aeic,https://www.canada.ca/en/impact-assessment-agency.html,https://www.canada.ca/fr/agence-evaluation-impact.html,2021-09-27
Indigenous Services Canada,Services aux Autochtones Canada,isc,sac,https://www.canada.ca/en/indigenous-services-canada.html,https://www.canada.ca/fr/services-autochtones-canada.html,2021-09-27
Infrastructure Canada,Infrastructure Canada,infrastructure,infrastructure,http://www.infrastructure.gc.ca/index-eng.html,http://www.infrastructure.gc.ca/index-fra.html,2021-09-27
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,ic,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil,2021-09-27
Invest in Canada Hub,Investir au Canada,investcanada,investircanada,https://www.investcanada.ca/,https://www.investircanada.ca/,2021-09-27
Library and Archives Canada,Bibliothèque et Archives Canada,lac,bac,https://www.collectionscanada.gc.ca/index-e.html,http://www.collectionscanada.gc.ca/index-f.html,2021-09-27
Military Police Complaints Commission of Canada,"Commission d’examen des plaintes concernant la police militaire
du Canada",mpcc,cppm,https://www.mpcc-cppm.gc.ca/index-eng.aspx,https://www.mpcc-cppm.gc.ca/index-fra.aspx,2021-09-27
National Defence,Défense nationale et les Forces armées canadiennes,forces,forces,http://www.forces.gc.ca/en/,http://forces.gc.ca/,2021-09-27
National Film Board,Office national du film du Canada,nfb,onf,https://www.nfb.ca/,https://www.onf.ca/,2021-09-27
National Research Council Canada,Conseil national de recherches Canada,nrc,cnrc,http://www.nrc-cnrc.gc.ca/eng/index.html,http://www.nrc-cnrc.gc.ca/fra/index.html,2021-09-27
National Security and Intelligence Review Agency Secretariat,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira,ossnr,https://nsira-ossnr.gc.ca/,https://nsira-ossnr.gc.ca/fr/,2021-09-27
Natural Resources Canada,Ressources naturelles Canada,nrcan,rncan,http://www.nrcan.gc.ca/home,http://www.rncan.gc.ca/accueil,2021-09-27
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,nserc,crsng,https://www.nserc-crsng.gc.ca/index_eng.asp,https://www.nserc-crsng.gc.ca/index_fra.asp,2021-09-27
Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,fja,cmf,https://www.fja.gc.ca/home-accueil/index-eng.html,https://www.fja.gc.ca/home-accueil/index-fra.html,2021-09-27
Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières,osfi,bsif,https://www.osfi-bsif.gc.ca/Eng/Pages/default.aspx,https://www.osfi-bsif.gc.ca/fra/Pages/default.aspx,2021-09-27
Parks Canada,Parcs Canada,pc,pc,http://www.pc.gc.ca/eng/index.aspx,http://www.pc.gc.ca/fra/index.aspx,2021-09-27
Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc,clcc,https://www.canada.ca/en/parole-board.html,https://www.canada.ca/fr/commission-liberations-conditionnelles.html,2021-09-27
Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés,pmprb,cepmb,http://pmprb-cepmb.gc.ca/home,http://pmprb-cepmb.gc.ca/fr/accueil,2021-09-27
Polar Knowledge Canada,Savoir polaire Canada,polar,polaire,https://www.canada.ca/en/polar-knowledge.html,https://www.canada.ca/fr/savoir-polaire.html,2021-09-27
Privy Council Office,Bureau du Conseil privé,pco,bcp,http://www.pco-bcp.gc.ca/index.asp?lang=eng,http://www.pco-bcp.gc.ca/index.asp?lang=fra,2021-09-27
Public Health Agency of Canada,Agence de la santé publique du Canada,phac,aspc,http://www.phac-aspc.gc.ca/index-eng.php,http://www.phac-aspc.gc.ca/index-fra.php,2021-09-27
Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc,sppc,https://www.ppsc-sppc.gc.ca/eng/,https://www.ppsc-sppc.gc.ca/fra/,2021-09-27
Public Safety Canada,Sécurité publique Canada,ps,sp,http://www.publicsafety.gc.ca/index-eng.aspx,http://www.securitepublique.gc.ca/index-fra.aspx,2021-09-27
Public Service Commission of Canada,Commission de la fonction publique du Canada,psc,cfp,http://www.psc-cfp.gc.ca/index-eng.htm,http://www.psc-cfp.gc.ca/index-fra.htm,2021-09-27
Public Services and Procurement Canada,Services publics et de l'Approvisionnement,pwgsc,tpsgc,http://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html,https://www.canada.ca/fr/services-publics-approvisionnement.html,2021-09-27
Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp,grc,http://www.rcmp-grc.gc.ca/en,http://www.rcmp-grc.gc.ca/fr,2021-09-27
Shared Services Canada,Services partagés Canada,ssc,spc,https://www.canada.ca/en/shared-services.html,https://www.canada.ca/fr/services-partages.html,2021-09-27
